accountAgeDays,numItems,localTime,paymentMethod,paymentMethodAgeDays,Category,isWeekend,label
2000,1,4.962055,creditcard,718.7652778,shopping,0,0
2000,1,4.965339,paypal,0,shopping,1,0
2000,1,4.745402,creditcard,0,shopping,1,0
1162,1,4.876771,paypal,0,shopping,0,0
1208,1,4.962055,creditcard,465.825,shopping,0,0
127,1,5.040929,creditcard,0.000694444,electronics,1,0
13,1,4.921318,creditcard,0,electronics,0,0
1670,1,4.748314,paypal,0,shopping,0,0
2000,1,4.836982,paypal,101.8923611,electronics,0,0
444,1,4.836982,paypal,99.11736111,electronics,0,0
21,1,4.895263,creditcard,20.9,food,0,0
19,2,4.962055,creditcard,0,electronics,0,0
66,1,4.742303,creditcard,16.825,electronics,0,0
2000,1,4.745402,storecredit,0,shopping,0,0
86,1,4.52458,creditcard,85.37361111,food,0,0
1896,1,4.921349,creditcard,0,shopping,0,0
273,1,5.034622,creditcard,0.001388889,shopping,1,0
43,1,4.876771,creditcard,0.002083333,electronics,1,0
154,1,4.895263,creditcard,0,shopping,1,0
497,1,4.965339,storecredit,494.9736111,food,1,0
494,1,4.962055,paypal,0.045833333,shopping,0,0
1799,1,4.921349,paypal,1762.999306,food,0,0
2000,1,3.483951,creditcard,502.3819444,food,0,0
541,1,4.057414,creditcard,0,electronics,0,0
369,1,4.921349,creditcard,0,shopping,1,0
1075,1,3.066058,creditcard,8.1,food,0,0
2000,1,5.017904,paypal,129.9291667,shopping,0,0
53,1,5.040929,paypal,52.24444444,electronics,1,0
2000,1,4.921349,creditcard,327.9013889,food,1,0
824,1,4.057414,creditcard,0.000694444,electronics,0,0
3,1,4.505662,creditcard,0.002777778,electronics,1,0
604,1,4.876771,creditcard,0,food,1,0
1285,1,4.52458,paypal,26.00694444,shopping,1,0
279,1,4.057414,creditcard,0.004166667,shopping,1,0
2,1,4.921349,creditcard,0,food,1,0
1477,1,5.017904,paypal,0,electronics,1,0
645,1,3.954522,paypal,555.3361111,shopping,1,0
2,1,4.52458,creditcard,1.15,food,0,0
131,1,4.886641,creditcard,0,shopping,1,0
2000,1,4.461622,paypal,0,shopping,1,0
37,1,4.505662,creditcard,36.44027778,food,1,0
3,1,4.921349,storecredit,0,electronics,1,0
2000,1,2.94894,creditcard,0,food,0,0
2000,1,5.017904,creditcard,0.006944444,food,1,0
125,1,4.895263,paypal,0.001388889,food,1,0
1535,1,5.017904,paypal,0.005555556,electronics,0,0
1305,1,5.040929,creditcard,1261.107639,food,1,0
2000,1,4.962055,paypal,711.0861111,food,0,0
2000,4,4.742303,creditcard,0,electronics,1,0
32,1,4.962055,creditcard,29.17986111,shopping,0,0
2000,1,4.886641,paypal,0.423611111,electronics,0,0
2000,1,5.040929,creditcard,0.003472222,shopping,1,0
106,1,4.965339,creditcard,0,food,0,0
1672,1,4.921349,paypal,1568.803472,electronics,1,0
1900,1,5.034622,creditcard,0.005555556,food,1,0
911,1,4.876771,paypal,0.000694444,shopping,0,0
66,1,4.057414,paypal,0,shopping,1,0
13,1,4.921349,creditcard,12.19861111,food,0,0
2000,5,2.596228,creditcard,217.5888889,shopping,0,0
1394,5,4.742303,creditcard,549.9805556,shopping,0,0
1991,1,4.886641,creditcard,1394.418056,food,1,0
31,1,4.505662,creditcard,30.23472222,electronics,1,0
102,1,4.836982,creditcard,0,shopping,1,0
1941,1,4.921349,creditcard,2.8875,electronics,0,0
1460,1,3.066058,paypal,0.002083333,food,0,0
664,1,4.886641,paypal,0.000694444,electronics,1,0
1979,1,4.505662,storecredit,455.5715278,food,1,0
2000,1,4.461622,paypal,1.542361111,food,1,0
569,1,4.876771,creditcard,0.011111111,food,0,0
171,1,5.034622,creditcard,0,food,0,0
1392,1,4.965339,creditcard,0,food,0,0
639,1,5.017904,creditcard,627.975,electronics,1,0
14,1,4.921318,creditcard,0,electronics,0,0
776,1,4.886641,creditcard,0,shopping,1,0
906,1,5.040929,creditcard,0,electronics,1,0
4,1,4.921318,creditcard,0,electronics,1,0
2000,1,4.921349,creditcard,264.7569444,food,1,0
131,1,4.962055,paypal,130.1930556,shopping,1,0
49,1,4.886641,creditcard,0,shopping,1,0
2,1,4.836982,creditcard,1.0375,shopping,1,0
145,1,4.745402,creditcard,144.51875,shopping,1,0
91,1,4.505662,creditcard,0.000694444,food,1,0
17,1,5.034622,creditcard,0,food,0,0
151,1,4.965339,creditcard,0,electronics,1,0
553,1,4.965339,creditcard,4.1,food,0,0
779,3,4.057414,creditcard,128.0277778,electronics,0,0
1306,1,4.836982,creditcard,0.002777778,food,1,0
2000,1,5.017904,creditcard,293.9875,electronics,1,0
877,1,4.52458,creditcard,682.8326389,food,0,0
2000,1,4.748314,paypal,0,electronics,0,0
949,1,4.965339,creditcard,0.002083333,shopping,0,0
367,1,5.017904,creditcard,0,shopping,0,0
2000,1,4.921349,creditcard,0.002083333,shopping,1,0
1602,1,4.921349,creditcard,0.009722222,shopping,0,0
2000,1,4.52458,creditcard,277.0902778,shopping,0,0
1536,1,4.742303,creditcard,966.3458333,electronics,1,0
2000,1,4.745402,paypal,2.920833333,shopping,1,0
526,1,4.886641,creditcard,25.94583333,food,1,0
51,1,4.836982,creditcard,0,food,0,0
1289,1,5.034622,creditcard,251.1465278,shopping,0,0
38,1,4.921318,creditcard,0,electronics,0,0
235,1,4.921318,storecredit,0,food,0,0
1842,1,4.876771,creditcard,0.775694444,food,1,0
2,1,4.748314,creditcard,1.025,electronics,0,0
39,1,5.017904,paypal,0,electronics,0,0
529,1,4.895263,creditcard,508.4972222,shopping,1,0
2000,1,4.505662,creditcard,0.001388889,food,0,0
2,1,3.575983,creditcard,1.116666667,electronics,1,0
1994,1,4.921318,creditcard,0.000694444,electronics,1,0
4,1,2.596228,paypal,3.463194444,shopping,0,0
2000,1,4.895263,paypal,944.6923611,electronics,1,0
37,1,4.505662,paypal,0,electronics,1,0
2000,1,4.876771,creditcard,101.1611111,shopping,1,0
1612,1,4.505662,paypal,0.494444444,shopping,0,0
17,1,5.017904,paypal,16.06527778,shopping,0,0
1615,1,4.748314,paypal,0.000694444,electronics,1,0
19,1,5.040929,storecredit,18.21388889,electronics,0,0
2000,1,4.886641,creditcard,253.2847222,electronics,0,0
884,1,4.965339,creditcard,0.016666667,food,1,0
1,1,4.836982,paypal,0.002777778,electronics,,1
190,1,5.034622,storecredit,97.04305556,shopping,0,0
130,1,4.505662,creditcard,129.2347222,electronics,1,0
2000,1,4.742303,paypal,0,shopping,0,0
2000,1,4.962055,paypal,0,food,0,0
3,1,4.748314,creditcard,0.001388889,electronics,1,0
8,1,5.040929,creditcard,0,shopping,0,0
295,2,5.040929,creditcard,0.001388889,shopping,0,0
352,1,4.745402,creditcard,351.8569444,food,0,0
2000,1,4.748314,paypal,3.059027778,food,0,0
1603,1,4.876771,paypal,0,food,1,0
322,1,4.745402,creditcard,0,food,1,0
114,1,4.876771,paypal,0,food,0,0
1981,1,4.921349,creditcard,0,shopping,0,0
3,1,4.52458,creditcard,2.036111111,food,1,0
2000,1,4.921318,creditcard,0,shopping,0,0
1173,1,5.017904,creditcard,0.003472222,electronics,1,0
125,1,4.921349,creditcard,124.1861111,food,1,0
635,1,4.921349,creditcard,633.8847222,electronics,0,0
2000,1,4.876771,storecredit,0,shopping,1,0
54,1,4.886641,creditcard,0,food,0,0
54,1,4.836982,creditcard,0,shopping,0,0
633,1,5.034622,creditcard,0,electronics,1,0
8,1,4.745402,creditcard,0,electronics,0,0
256,1,4.962055,paypal,0,shopping,1,0
145,1,4.886641,creditcard,0,food,0,0
73,2,4.52458,creditcard,72.37638889,electronics,0,0
466,1,4.057414,creditcard,0,shopping,1,0
1608,1,4.921349,creditcard,478.6145833,electronics,0,0
1783,1,4.52458,creditcard,0,shopping,0,0
989,1,4.836982,creditcard,988.6666667,electronics,0,0
1292,1,4.921349,creditcard,0,shopping,0,0
2,1,5.034622,paypal,1.026388889,electronics,0,0
1597,1,5.017904,creditcard,118.9895833,electronics,0,0
578,1,3.575983,creditcard,486.1923611,electronics,0,0
105,1,5.040929,paypal,104.1763889,shopping,1,0
2000,2,4.745402,creditcard,0,electronics,1,0
1,1,4.921318,creditcard,0,shopping,,1
2000,1,3.483951,creditcard,0.442361111,electronics,1,0
211,1,2.596228,creditcard,210.3729167,electronics,0,0
2000,1,4.836982,creditcard,0,shopping,1,0
167,1,4.921318,creditcard,166.8965278,food,1,0
140,1,5.034622,creditcard,139.0340278,food,0,0
41,1,4.895263,creditcard,8.585416667,shopping,1,0
179,1,4.921318,creditcard,0.002083333,food,0,0
563,1,4.921318,creditcard,0,food,0,0
633,1,5.034622,creditcard,0,electronics,0,0
190,1,4.895263,creditcard,1.522916667,electronics,0,0
33,1,4.52458,creditcard,32.10416667,food,1,0
549,1,4.895263,paypal,0.452083333,food,1,0
2000,1,4.52458,creditcard,302.1493056,shopping,1,0
1049,1,5.034622,creditcard,0,food,1,0
2000,1,4.876771,creditcard,4.945833333,food,0,0
611,1,4.895263,creditcard,103.5875,food,1,0
10,1,4.836982,creditcard,0,food,1,0
1759,1,4.057414,creditcard,477.5256944,food,0,0
1679,1,4.745402,paypal,0.000694444,food,1,0
3,1,4.886641,creditcard,2.975,food,0,0
15,1,4.836982,creditcard,14.37986111,electronics,1,0
8,1,4.52458,paypal,7.047222222,electronics,0,0
842,1,4.742303,creditcard,833.5625,electronics,0,0
877,1,4.745402,creditcard,0,shopping,1,0
1326,1,5.034622,creditcard,0,electronics,1,0
2,1,3.483951,creditcard,1.113888889,shopping,1,0
2000,1,4.921349,creditcard,210.03125,shopping,0,0
798,1,4.745402,creditcard,0,electronics,0,0
211,1,4.836982,creditcard,0.006944444,shopping,0,0
804,1,5.040929,creditcard,0,electronics,0,0
987,1,4.836982,paypal,0.054166667,food,1,0
1089,1,3.954522,creditcard,1088.738194,electronics,1,0
205,1,4.745402,creditcard,0,food,1,0
1350,1,3.954522,paypal,0.011111111,food,1,0
2000,1,4.921349,paypal,366.69375,shopping,1,0
2,1,4.962055,creditcard,1.748611111,electronics,0,0
785,2,4.745402,creditcard,85.86805556,electronics,0,0
2,1,4.965339,paypal,0.002777778,food,0,0
606,1,4.505662,creditcard,0,electronics,1,0
943,1,4.965339,creditcard,0,food,0,0
312,1,4.876771,creditcard,0,food,1,0
442,1,4.965339,paypal,0,food,0,0
444,1,4.886641,creditcard,74.00208333,food,1,0
25,1,4.836982,creditcard,24.07430556,electronics,0,0
2000,1,4.52458,creditcard,1376.66875,shopping,1,0
14,1,4.461622,creditcard,13.90416667,shopping,0,0
641,1,4.748314,creditcard,0,electronics,1,0
2000,1,5.017904,paypal,170.1840278,electronics,0,0
474,1,4.742303,paypal,0,shopping,1,0
2000,1,4.745402,creditcard,160.6166667,food,0,0
1519,1,4.836982,paypal,0,shopping,0,0
299,1,4.505662,paypal,0.000694444,shopping,0,0
739,1,4.057414,paypal,0.005555556,shopping,1,0
239,1,4.886641,creditcard,0,shopping,1,0
169,1,4.876771,creditcard,168.0215278,shopping,1,0
148,1,4.921318,storecredit,143.3583333,food,1,0
80,1,4.876771,paypal,0,food,1,0
922,1,4.836982,creditcard,0,food,0,0
955,2,4.461622,creditcard,0,shopping,0,0
1413,1,4.057414,creditcard,0.047222222,electronics,1,0
1131,1,4.886641,creditcard,0,electronics,0,0
674,1,4.836982,creditcard,42.99097222,electronics,1,0
2000,1,4.965339,creditcard,3.338888889,food,0,0
2000,1,4.962055,creditcard,195.9034722,shopping,1,0
2000,1,4.895263,creditcard,0,food,0,0
290,1,4.057414,creditcard,288.9805556,food,1,0
1767,1,4.461622,creditcard,32.44444444,food,0,0
4,1,4.876771,creditcard,0.000694444,electronics,0,0
3,1,4.876771,paypal,0,shopping,0,0
365,1,4.748314,creditcard,0,food,1,0
823,1,5.017904,creditcard,0.110416667,electronics,1,0
1443,1,4.748314,creditcard,0,food,0,0
2,1,4.461622,creditcard,1.722916667,electronics,0,0
597,1,4.886641,paypal,212.1048611,shopping,1,0
1477,1,4.745402,paypal,64.60625,shopping,1,0
2000,1,4.745402,paypal,0.074305556,food,1,0
44,1,4.921349,creditcard,0,electronics,1,0
2000,1,4.52458,creditcard,0,electronics,0,0
2000,1,5.040929,creditcard,0.002777778,shopping,0,0
2000,1,4.057414,creditcard,406.5486111,food,0,0
2000,1,5.034622,creditcard,0,electronics,0,0
1,1,4.52458,paypal,0,food,,1
2,1,4.748314,creditcard,1.0125,electronics,0,0
2000,1,4.876771,paypal,2.0625,shopping,0,0
5,1,4.886641,creditcard,0.025694444,shopping,1,0
8,2,4.505662,creditcard,0,shopping,0,0
2000,1,4.921349,creditcard,1830.763194,electronics,1,0
978,1,3.066058,creditcard,0.0125,food,0,0
132,1,4.52458,creditcard,0.977083333,food,0,0
2000,1,5.017904,creditcard,0.000694444,shopping,1,0
324,1,4.886641,creditcard,0,shopping,0,0
1691,1,4.742303,creditcard,1579.560417,food,0,0
2000,1,4.962055,paypal,969.9368056,shopping,1,0
212,1,3.954522,creditcard,0,shopping,0,0
6,2,4.921349,creditcard,0,electronics,1,0
531,1,4.895263,paypal,121.6256944,food,1,0
136,1,5.017904,creditcard,0,shopping,0,0
1307,1,4.505662,creditcard,0,electronics,1,0
2000,1,4.742303,creditcard,625.8847222,food,0,0
897,1,4.505662,creditcard,896.9576389,electronics,1,0
64,1,3.954522,creditcard,0.626388889,shopping,0,0
1611,1,4.962055,creditcard,0,food,0,0
119,1,4.886641,creditcard,0.000694444,electronics,1,0
12,1,5.034622,creditcard,0.000694444,shopping,0,0
695,1,4.505662,creditcard,0,food,1,0
1073,1,4.921318,creditcard,49.84583333,shopping,1,0
2000,1,4.742303,creditcard,412.55625,shopping,1,0
2000,1,4.748314,creditcard,0,electronics,1,0
4,1,4.748314,paypal,0.000694444,food,1,0
2000,1,5.040929,creditcard,0,electronics,1,0
272,2,5.040929,creditcard,0,shopping,1,0
1992,1,5.017904,creditcard,0.000694444,electronics,0,0
2000,1,5.017904,creditcard,1384.531944,electronics,0,0
501,1,5.017904,paypal,0.000694444,electronics,1,0
99,1,4.895263,creditcard,32.43402778,shopping,0,0
3,1,4.876771,paypal,0,electronics,0,0
105,1,5.040929,creditcard,0,food,0,0
11,1,4.745402,creditcard,0,shopping,0,0
2000,1,5.040929,creditcard,99.0375,shopping,1,0
1905,1,4.742303,creditcard,0,electronics,1,0
611,1,3.575983,creditcard,537.03125,electronics,0,0
270,1,3.575983,creditcard,0,shopping,1,0
2,1,4.895263,paypal,1.01875,electronics,1,0
802,1,5.034622,creditcard,0,shopping,1,0
17,1,4.895263,storecredit,0,electronics,0,0
1194,1,4.505662,creditcard,0.063194444,shopping,1,0
1575,1,4.461622,creditcard,0,food,1,0
38,1,4.748314,paypal,0.010416667,electronics,0,0
49,1,5.040929,paypal,48.99652778,shopping,0,0
1768,1,4.965339,paypal,1009.372222,electronics,1,0
37,1,4.745402,creditcard,0.000694444,food,1,0
1025,1,4.921318,creditcard,155.7298611,food,0,0
13,1,4.836982,creditcard,0.036805556,food,0,0
909,1,4.745402,creditcard,0,electronics,0,0
1165,1,4.886641,paypal,0.591666667,electronics,0,0
2000,1,4.742303,paypal,0,shopping,1,0
4,1,5.040929,creditcard,0,electronics,1,0
7,1,4.876771,creditcard,0.001388889,shopping,1,0
298,2,4.886641,paypal,151.7506944,electronics,0,0
1,1,4.748314,paypal,0,food,,1
2000,1,4.745402,creditcard,546.7083333,shopping,0,0
1,1,4.745402,creditcard,0.003472222,electronics,,1
2000,1,4.505662,creditcard,0,shopping,0,0
6,1,4.921349,creditcard,0.002083333,shopping,1,0
888,1,4.745402,creditcard,0.921527778,food,0,0
135,1,4.745402,creditcard,0,shopping,0,0
1697,1,4.965339,creditcard,0,electronics,1,0
119,1,4.965339,creditcard,118.9715278,shopping,0,0
441,1,4.876771,creditcard,0.000694444,food,0,0
15,1,4.876771,paypal,0,food,0,0
56,1,2.94894,creditcard,53.56319444,electronics,0,0
253,1,4.921318,creditcard,252.0215278,food,1,0
2000,1,4.461622,paypal,0.507638889,food,0,0
2000,1,5.017904,paypal,390.5180556,food,1,0
2000,1,5.034622,creditcard,119.0430556,shopping,0,0
663,1,4.748314,creditcard,0,shopping,0,0
1714,2,4.745402,creditcard,680.1923611,food,1,0
4,1,4.836982,storecredit,0.000694444,food,0,0
200,1,4.962055,creditcard,0,shopping,1,0
278,1,5.017904,creditcard,0.002777778,shopping,1,0
111,1,5.017904,creditcard,0,shopping,0,0
1958,1,4.748314,paypal,25.87013889,shopping,0,0
38,1,4.52458,creditcard,37.0625,electronics,1,0
144,1,5.034622,creditcard,0,food,1,0
1481,1,3.954522,paypal,0.382638889,food,0,0
27,1,4.895263,creditcard,25.63541667,electronics,0,0
2000,1,4.962055,creditcard,0,shopping,0,0
138,1,4.742303,creditcard,0,food,1,0
2000,1,4.895263,creditcard,629.9430556,food,1,0
2000,1,4.057414,creditcard,0,shopping,0,0
2000,1,4.748314,creditcard,934.2243056,electronics,1,0
27,1,5.040929,creditcard,0.444444444,food,0,0
2000,1,4.895263,paypal,0,electronics,0,0
45,2,4.745402,creditcard,44.86388889,shopping,1,0
67,1,4.921349,creditcard,0,shopping,0,0
215,1,4.748314,creditcard,173.5479167,food,1,0
1922,1,3.066058,creditcard,0.886805556,food,1,0
148,1,4.921349,creditcard,0,shopping,1,0
1595,1,4.876771,storecredit,1.054861111,electronics,0,0
87,1,4.921318,creditcard,0.000694444,food,1,0
1,1,4.921318,creditcard,0,food,,1
778,1,3.483951,creditcard,0,shopping,0,0
68,1,4.745402,creditcard,0.000694444,electronics,0,0
10,1,5.017904,creditcard,0,electronics,1,0
1323,1,4.057414,paypal,86.08819444,electronics,1,0
1921,1,4.962055,creditcard,0,shopping,0,0
1756,1,4.745402,creditcard,1.825694444,electronics,0,0
1801,2,4.921349,storecredit,0,shopping,0,0
947,1,4.745402,paypal,0.805555556,shopping,0,0
2,1,4.461622,creditcard,0,shopping,0,0
2000,1,4.52458,paypal,288.50625,electronics,1,0
742,1,4.057414,creditcard,0,electronics,1,0
1613,1,5.040929,creditcard,15.37916667,electronics,1,0
278,1,4.886641,creditcard,0.007638889,shopping,0,0
83,1,4.057414,creditcard,82.78611111,electronics,1,0
2000,1,5.040929,creditcard,1548.034028,electronics,1,0
3,1,4.921349,paypal,0,shopping,1,0
410,1,3.575983,paypal,124.2548611,shopping,0,0
31,1,4.965339,creditcard,0,shopping,0,0
2000,1,5.034622,creditcard,337.7875,electronics,1,0
2000,1,4.965339,creditcard,193.1138889,food,1,0
892,1,4.745402,creditcard,0,shopping,0,0
1634,1,4.52458,creditcard,0,shopping,0,0
205,10,4.748314,creditcard,57.02013889,food,0,0
648,1,4.748314,storecredit,0.000694444,electronics,1,0
1098,1,5.017904,creditcard,0.000694444,shopping,0,0
1937,1,5.040929,creditcard,318.0840278,shopping,1,0
1817,1,4.742303,paypal,0.003472222,food,1,0
132,1,4.921349,paypal,131.1034722,food,0,0
909,1,3.575983,paypal,314.9493056,electronics,1,0
655,1,5.034622,creditcard,0,electronics,1,0
2000,1,5.040929,creditcard,0,electronics,1,0
196,1,4.921349,creditcard,0,shopping,1,0
299,1,4.921318,creditcard,0,shopping,1,0
124,1,3.483951,paypal,123.6208333,shopping,1,0
1724,1,4.742303,paypal,323.2729167,food,0,0
1546,1,3.483951,paypal,0,shopping,0,0
2000,1,4.886641,creditcard,0,food,0,0
307,1,5.034622,creditcard,0,electronics,1,0
2000,1,4.52458,creditcard,509.3736111,electronics,0,0
1196,1,5.017904,creditcard,0,food,1,0
272,1,4.876771,storecredit,0,food,0,0
529,1,2.596228,creditcard,145.4423611,shopping,0,0
1,1,4.921349,creditcard,0.007638889,electronics,,1
2000,1,4.895263,creditcard,0.000694444,shopping,0,0
2000,1,4.836982,storecredit,263.8020833,food,0,0
1129,1,4.886641,creditcard,0.001388889,food,1,0
72,1,4.52458,paypal,71.45555556,food,0,0
579,1,4.461622,creditcard,486.3229167,food,1,0
2000,1,4.921318,creditcard,0.017361111,electronics,1,0
385,1,4.965339,creditcard,10.17013889,shopping,1,0
247,1,4.505662,creditcard,246.0729167,food,0,0
567,1,4.505662,creditcard,411.8194444,shopping,1,0
1147,1,4.745402,creditcard,86.59444444,food,1,0
958,1,4.461622,creditcard,0,shopping,1,0
101,1,4.742303,paypal,0,electronics,0,0
2000,1,4.965339,paypal,718.6020833,food,1,0
2000,1,4.962055,paypal,136.2270833,food,0,0
219,1,4.962055,paypal,0,food,1,0
934,1,4.921349,creditcard,0.000694444,electronics,0,0
46,1,4.748314,creditcard,0,food,0,0
912,1,4.921318,paypal,180.8,shopping,0,0
151,1,3.954522,creditcard,0,shopping,0,0
487,1,4.876771,creditcard,485.7930556,food,0,0
129,1,4.52458,creditcard,128.4555556,shopping,1,0
1213,1,5.040929,creditcard,0,electronics,0,0
1622,1,4.52458,creditcard,1.35625,shopping,0,0
620,1,4.965339,paypal,619.6791667,electronics,0,0
2000,1,4.965339,creditcard,929.0541667,food,1,0
857,2,4.886641,creditcard,0,shopping,0,0
13,1,4.962055,creditcard,0,food,0,0
2000,1,5.017904,creditcard,88.38402778,food,1,0
454,1,5.034622,creditcard,0,food,1,0
14,2,4.895263,creditcard,13.83958333,shopping,1,0
1272,1,4.505662,paypal,815.2645833,shopping,1,0
